 Permanent Tournament #, Player #, Player First Name, Player Last Name, Round, Hole, Par Value, Hole Score,  Shot, Distance,1st Putt Flag, To Location(Scorer), Date, Time, X Coordinate, Y Coordinate,Shot Impact
3,1810,Phil,Mickelson,1,1,4,4,1,9952,N,Fairway,2/1/2018,1026,"11,541.90","10,756.65",0.451774032
3,1810,Phil,Mickelson,1,1,4,4,2,4520,N,Green,2/1/2018,1031,"11,320.22","11,061.16",-0.068346041
3,1810,Phil,Mickelson,1,1,4,4,3,451,Y,Green,2/1/2018,1035,"11,304.01","11,027.23",0.471508447
3,1810,Phil,Mickelson,1,1,4,4,4,42,N,,2/1/2018,1038,0,0,-0.054015902
3,1810,Phil,Mickelson,1,2,4,4,1,12631,N,Fairway,2/1/2018,1040,"11,478.65","10,139.35",0.108718496
3,1810,Phil,Mickelson,1,2,4,4,2,3748,N,Green,2/1/2018,1048,"11,616.55","9,859.10",0.39417185
3,1810,Phil,Mickelson,1,2,4,4,3,141,Y,Green,2/1/2018,1053,"11,610.11","9,868.96",-0.016083632
3,1810,Phil,Mickelson,1,2,4,4,4,21,N,,2/1/2018,1053,0,0,0.49028414
3,1810,Phil,Mickelson,1,3,5,5,1,11070,N,Fairway,2/1/2018,1058,"10,497.67","10,134.40",-0.30542928
3,1810,Phil,Mickelson,1,3,5,5,2,9196,N,Fairway,2/1/2018,1102,"9,800.85","10,453.24",0.459909101
3,1810,Phil,Mickelson,1,3,5,5,3,1001,N,Fringe,2/1/2018,1107,"9,764.81","10,378.06",0.32832514
3,1810,Phil,Mickelson,1,3,5,5,4,174,N,Green,2/1/2018,1111,"9,775.93","10,387.36",0.09428159
3,1810,Phil,Mickelson,1,3,5,5,5,13,Y,,2/1/2018,1111,0,0,0.383218964
3,1810,Phil,Mickelson,1,4,3,4,1,6371,N,Green Side Bunker,2/1/2018,1115,"9,558.57","11,001.55",0.074691442
3,1810,Phil,Mickelson,1,4,3,4,2,700,N,Green,2/1/2018,1117,"9,505.66","10,977.05",-1.079635271
3,1810,Phil,Mickelson,1,4,3,4,3,315,Y,Green,2/1/2018,1120,"9,530.43","10,985.68",-2.200732472
3,1810,Phil,Mickelson,1,4,3,4,4,24,N,,2/1/2018,1120,0,0,-0.712567046
3,1810,Phil,Mickelson,1,5,4,4,1,9312,N,Primary Rough,2/1/2018,1124,"9,024.89","10,835.38",0.130777157
3,1810,Phil,Mickelson,1,5,4,4,2,7668,N,Green,2/1/2018,1127,"8,452.38","10,551.53",-0.303394075
3,1810,Phil,Mickelson,1,5,4,4,3,961,Y,Green,2/1/2018,1133,"8,492.10","10,481.99",-0.166021533
3,1810,Phil,Mickelson,1,5,4,4,4,95,N,,2/1/2018,1138,0,0,-0.168856991
3,1810,Phil,Mickelson,1,6,4,4,1,10304,N,Primary Rough,2/1/2018,1140,"8,939.15","10,013.23",-0.013170252
3,1810,Phil,Mickelson,1,6,4,4,2,5125,N,Fairway,2/1/2018,1147,"9,298.29","9,782.16",0.336085542
3,1810,Phil,Mickelson,1,6,4,4,3,420,N,Green,2/1/2018,1149,"9,267.71","9,799.10",-0.497912272
3,1810,Phil,Mickelson,1,6,4,4,4,45,Y,,2/1/2018,1152,0,0,0.447361397
3,1810,Phil,Mickelson,1,7,3,3,1,6936,N,Green,2/1/2018,1156,"9,049.99","10,492.15",0.476957529
3,1810,Phil,Mickelson,1,7,3,3,2,116,Y,Green,2/1/2018,1204,"9,040.51","10,490.38",0.017269412
3,1810,Phil,Mickelson,1,7,3,3,3,29,N,,2/1/2018,1204,0,0,-0.151692689
3,1810,Phil,Mickelson,1,8,4,4,1,11136,N,Intermediate Rough,2/1/2018,1206,"9,780.29","10,062.34",0.359165603
3,1810,Phil,Mickelson,1,8,4,4,2,5549,N,Green,2/1/2018,1214,"10,159.26","9,797.32",-0.172467488
3,1810,Phil,Mickelson,1,8,4,4,3,496,Y,Green,2/1/2018,1220,"10,187.23","9,766.85",0.299110223
3,1810,Phil,Mickelson,1,8,4,4,4,44,N,,2/1/2018,1222,0,0,0.498887433
3,1810,Phil,Mickelson,1,9,4,4,1,11157,N,Fairway Bunker,2/1/2018,1225,"11,070.69","9,769.93",0.302012621
3,1810,Phil,Mickelson,1,9,4,4,2,5782,N,Green,2/1/2018,1230,"11,548.90","9,710.78",-0.210050483
3,1810,Phil,Mickelson,1,9,4,4,3,285,Y,Green,2/1/2018,1235,"11,525.35","9,713.88",-0.086269671
3,1810,Phil,Mickelson,1,9,4,4,4,21,N,,2/1/2018,1236,0,0,0.121094391
3,1810,Phil,Mickelson,1,10,4,4,1,10912,N,Fairway,2/1/2018,758,"11,482.84","8,862.97",0.25563017
3,1810,Phil,Mickelson,1,10,4,4,2,5257,N,Primary Rough,2/1/2018,803,"11,044.78","8,859.22",-0.175365465
3,1810,Phil,Mickelson,1,10,4,4,3,917,N,Green,2/1/2018,807,"11,120.97","8,865.48",-0.3630917
3,1810,Phil,Mickelson,1,10,4,4,4,148,Y,,2/1/2018,811,0,0,0.265226822
3,1810,Phil,Mickelson,1,11,4,5,1,8739,N,Fairway,2/1/2018,815,"10,349.27","9,251.62",0.438590544
3,1810,Phil,Mickelson,1,11,4,5,2,8051,N,Green,2/1/2018,818,"9,838.71","9,686.84",-0.650083361
3,1810,Phil,Mickelson,1,11,4,5,3,779,Y,Green,2/1/2018,824,"9,794.77","9,734.65",-1.200791175
3,1810,Phil,Mickelson,1,11,4,5,4,72,N,Green,2/1/2018,827,"9,800.24","9,732.13",-2.128663658
3,1810,Phil,Mickelson,1,11,4,5,5,33,N,,2/1/2018,827,0,0,-1.279412205
3,1810,Phil,Mickelson,1,12,3,3,1,6742,N,Fringe,2/1/2018,833,"9,199.25","9,322.41",-0.453533896
3,1810,Phil,Mickelson,1,12,3,3,2,174,N,Green,2/1/2018,839,"9,188.56","9,332.18",-0.07215115
3,1810,Phil,Mickelson,1,12,3,3,3,7,Y,,2/1/2018,839,0,0,-0.011408536
3,1810,Phil,Mickelson,1,13,5,4,1,11433,N,Fairway,2/1/2018,843,"8,353.40","10,050.28",-0.318693424
3,1810,Phil,Mickelson,1,13,5,4,2,8646,N,Green,2/1/2018,851,"7,958.08","10,652.65",0.95243299
3,1810,Phil,Mickelson,1,13,5,4,3,1156,Y,Green,2/1/2018,856,"7,869.28","10,615.35",1.42692427
3,1810,Phil,Mickelson,1,13,5,4,4,54,N,,2/1/2018,900,0,0,2.477408663
3,1810,Phil,Mickelson,1,14,4,4,1,10510,N,Primary Rough,2/1/2018,903,"8,070.02","9,621.91",0.185056548
3,1810,Phil,Mickelson,1,14,4,4,2,6875,N,Green Side Bunker,2/1/2018,908,"8,603.18","9,412.25",0.044349491
3,1810,Phil,Mickelson,1,14,4,4,3,697,N,Green,2/1/2018,914,"8,636.55","9,365.00",-0.093676372
3,1810,Phil,Mickelson,1,14,4,4,4,89,Y,,2/1/2018,917,0,0,-0.242786676
3,1810,Phil,Mickelson,1,15,5,4,1,12051,N,Fairway,2/1/2018,920,"9,664.60","9,063.82",0.371799411
3,1810,Phil,Mickelson,1,15,5,4,2,7198,N,Fairway,2/1/2018,926,"10,262.18","9,115.95",0.710404033
3,1810,Phil,Mickelson,1,15,5,4,3,762,N,Green,2/1/2018,931,"10,320.59","9,091.20",0.619267727
3,1810,Phil,Mickelson,1,15,5,4,4,80,Y,,2/1/2018,935,0,0,2.366347675
3,1810,Phil,Mickelson,1,16,3,2,1,5425,N,Green,2/1/2018,939,"10,823.36","8,833.20",0.413684473
3,1810,Phil,Mickelson,1,16,3,2,2,63,Y,,2/1/2018,946,0,0,1.568456561
3,1810,Phil,Mickelson,1,17,4,4,1,10565,N,Green Side Bunker,2/1/2018,947,"11,695.42","8,547.49",-0.194483748
3,1810,Phil,Mickelson,1,17,4,4,2,1524,N,Green,2/1/2018,954,"11,801.07","8,617.89",-0.017793807
3,1810,Phil,Mickelson,1,17,4,4,3,1034,Y,Green,2/1/2018,957,"11,866.73","8,673.72",-0.069945142
3,1810,Phil,Mickelson,1,17,4,4,4,29,N,,2/1/2018,1004,0,0,-0.003219664
3,1810,Phil,Mickelson,1,18,4,4,1,11026,N,Fairway,2/1/2018,1007,"12,273.08","9,253.83",0.321678932
3,1810,Phil,Mickelson,1,18,4,4,2,5127,N,Green,2/1/2018,1013,"12,270.75","9,681.00",-0.128718524
3,1810,Phil,Mickelson,1,18,4,4,3,185,Y,Green,2/1/2018,1019,"12,277.42","9,694.93",0.231338921
3,1810,Phil,Mickelson,1,18,4,4,4,41,N,,2/1/2018,1021,0,0,0.469232046
3,6527,Steve,Stricker,1,1,4,4,1,10319,N,Intermediate Rough,2/1/2018,817,"11,490.89","10,770.41",-0.476492363
3,6527,Steve,Stricker,1,1,4,4,2,3582,N,Fairway,2/1/2018,826,"11,311.28","11,008.85",-0.449035369
3,6527,Steve,Stricker,1,1,4,4,3,269,N,Green,2/1/2018,830,"11,304.67","11,030.26",0.180431746
3,6527,Steve,Stricker,1,1,4,4,4,6,Y,,2/1/2018,831,0,0,0.270675506
3,6527,Steve,Stricker,1,2,4,5,1,9323,N,Fairway,2/1/2018,835,"11,437.22","10,418.69",-0.425858303
3,6527,Steve,Stricker,1,2,4,5,2,6526,N,Green Side Bunker,2/1/2018,840,"11,587.53","9,896.25",-1.436738741
3,6527,Steve,Stricker,1,2,4,5,3,558,N,Green,2/1/2018,847,"11,619.62","9,862.62",-0.802683486
3,6527,Steve,Stricker,1,2,4,5,4,129,Y,Green,2/1/2018,850,"11,610.23","9,867.85",-1.541259521
3,6527,Steve,Stricker,1,2,4,5,5,17,N,,2/1/2018,850,0,0,-1.060558847
3,6527,Steve,Stricker,1,3,5,5,1,10458,N,Fairway,2/1/2018,853,"10,546.73","10,114.26",0.493196036
3,6527,Steve,Stricker,1,3,5,5,2,6814,N,Fairway,2/1/2018,858,"9,994.96","10,248.58",0.399975829
3,6527,Steve,Stricker,1,3,5,5,3,3089,N,Green,2/1/2018,904,"9,779.01","10,388.69",0.027110526
3,6527,Steve,Stricker,1,3,5,5,4,68,Y,Green,2/1/2018,909,"9,773.97","10,386.17",0.340275076
3,6527,Steve,Stricker,1,3,5,5,5,11,N,,2/1/2018,909,0,0,0.318795802
3,6527,Steve,Stricker,1,4,3,3,1,6317,N,Green Side Bunker,2/1/2018,914,"9,471.64","10,978.86",-0.19557263
3,6527,Steve,Stricker,1,4,3,3,2,659,N,Green,2/1/2018,917,"9,525.88","10,987.39",-0.389421868
3,6527,Steve,Stricker,1,4,3,3,3,35,Y,,2/1/2018,921,0,0,-0.18628084
3,6527,Steve,Stricker,1,5,4,4,1,9836,N,Primary Rough,2/1/2018,924,"8,990.95","10,807.02",-0.025797145
3,6527,Steve,Stricker,1,5,4,4,2,6626,N,Green,2/1/2018,931,"8,515.50","10,526.35",-0.125308106
3,6527,Steve,Stricker,1,5,4,4,3,450,Y,Green,2/1/2018,935,"8,495.01","10,494.97",0.178402831
3,6527,Steve,Stricker,1,5,4,4,4,93,N,,2/1/2018,939,0,0,0.165201305
3,6527,Steve,Stricker,1,6,4,4,1,9903,N,Primary Rough,2/1/2018,942,"8,880.62","9,995.36",0.298892216
3,6527,Steve,Stricker,1,6,4,4,2,5553,N,Fairway,2/1/2018,947,"9,291.80","9,783.02",0.169468947
3,6527,Steve,Stricker,1,6,4,4,3,333,N,Green,2/1/2018,952,"9,269.22","9,799.20",-0.307299791
3,6527,Steve,Stricker,1,6,4,4,4,46,Y,,2/1/2018,955,0,0,-0.424842165
3,6527,Steve,Stricker,1,7,3,3,1,6538,N,Green Side Bunker,2/1/2018,1001,"9,035.41","10,437.38",0.281881149
3,6527,Steve,Stricker,1,7,3,3,2,676,N,Green,2/1/2018,1005,"9,043.15","10,492.89",-0.142271295
3,6527,Steve,Stricker,1,7,3,3,3,12,Y,,2/1/2018,1006,0,0,0.039079563
3,6527,Steve,Stricker,1,8,4,4,1,10732,N,Intermediate Rough,2/1/2018,1011,"9,682.69","10,020.18",0.025797395
3,6527,Steve,Stricker,1,8,4,4,2,6659,N,Green,2/1/2018,1017,"10,185.86","9,786.20",0.260918277
3,6527,Steve,Stricker,1,8,4,4,3,181,Y,Green,2/1/2018,1024,"10,188.28","9,771.34",0.489078907
3,6527,Steve,Stricker,1,8,4,4,4,7,N,,2/1/2018,1024,0,0,0.375556212
3,6527,Steve,Stricker,1,9,4,4,1,11429,N,Fairway,2/1/2018,1029,"11,105.31","9,825.73",-0.464023469
3,6527,Steve,Stricker,1,9,4,4,2,5039,N,Green,2/1/2018,1035,"11,509.62","9,712.40",0.370257844
3,6527,Steve,Stricker,1,9,4,4,3,212,Y,Green,2/1/2018,1042,"11,527.20","9,714.07",0.399804895
3,6527,Steve,Stricker,1,9,4,4,4,7,N,,2/1/2018,1042,0,0,-0.062041522
3,6527,Steve,Stricker,1,10,4,4,1,9956,N,Fairway,2/1/2018,1047,"11,529.63","8,927.71",-0.383799982
3,6527,Steve,Stricker,1,10,4,4,2,4960,N,Green,2/1/2018,1052,"11,120.18","8,871.35",0.365617537
3,6527,Steve,Stricker,1,10,4,4,3,176,Y,Green,2/1/2018,1058,"11,133.40","8,864.97",0.02562038
3,6527,Steve,Stricker,1,10,4,4,4,16,N,Green,2/1/2018,1058,0,0,0.445470319
3,6527,Steve,Stricker,1,11,4,4,1,10572,N,Fairway,2/1/2018,1102,"10,226.05","9,357.61",0.095400254
3,6527,Steve,Stricker,1,11,4,4,2,7158,N,Fairway,2/1/2018,1108,"9,778.53","9,751.99",-0.34790792
3,6527,Steve,Stricker,1,11,4,4,3,344,N,Green,2/1/2018,1112,"9,800.01","9,732.97",-0.242211071
3,6527,Steve,Stricker,1,11,4,4,4,42,Y,,2/1/2018,1114,0,0,-0.211946418
3,6527,Steve,Stricker,1,12,3,3,1,6685,N,Green Side Bunker,2/1/2018,1119,"9,213.96","9,316.73",-0.405281425
3,6527,Steve,Stricker,1,12,3,3,2,353,N,Green,2/1/2018,1122,"9,190.23","9,333.81",-0.146356324
3,6527,Steve,Stricker,1,12,3,3,3,28,Y,,2/1/2018,1125,0,0,0.318842352
3,6527,Steve,Stricker,1,13,5,4,1,10979,N,Fairway,2/1/2018,1129,"8,367.61","10,008.69",-0.134764875
3,6527,Steve,Stricker,1,13,5,4,2,9373,N,Green,2/1/2018,1135,"7,889.10","10,626.03",1.111205237
3,6527,Steve,Stricker,1,13,5,4,3,312,Y,Green,2/1/2018,1144,"7,864.60","10,617.47",1.437155846
3,6527,Steve,Stricker,1,13,5,4,4,14,N,,2/1/2018,1144,0,0,2.149574868
3,6527,Steve,Stricker,1,14,4,4,1,10641,N,Fairway,2/1/2018,1147,"8,182.09","9,670.99",-0.241097368
